UEI,Legal_Business_Name,DBA_Name,CAGE_Code,Registration_Status,Registration_Date,Expiration_Date,Last_Updated_Date,Purpose_of_Registration,Phys_Address_1,Phys_Address_2,Phys_City,Phys_State_Province,Phys_Zip,Phys_Country,Congressional_District,Mail_Address_1,Mail_City,Mail_State_Province,Mail_Zip,Mail_Country,Entity_Structure,Is_Small_Business,Is_Minority_Owned,Is_Women_Owned,Is_Veteran_Owned,Is_SDVOSB,Is_HUBZone,Is_8a_Program,Is_Non_Profit,Primary_NAICS_Code,Primary_NAICS_Description,Secondary_NAICS_Codes_List,PSC_Codes_List,Gov_Contact_Name,Gov_Contact_Email,Gov_Contact_Phone,EBiz_Contact_Name,EBiz_Contact_Email,EBiz_Contact_Phone,Has_Active_Exclusions,Exclusion_Type,Delinquent_Federal_Tax,Exec_Comp_1_Name,Exec_Comp_1_Amt
CJSTEVMW6149,KOUMAZA LLC,KOUMAZA LLC,21RD9,Active,2026-06-14,2027-06-15,2026-07-02,All Awards,1919 KENNEDY DR APT 204,,MC LEAN,VA,22102,USA,,1919 KENNEDY DR APT 204,MC LEAN,VA,22102,USA,Corporate Entity (Not Tax Exempt),Y,N,N,N,N,N,N,N,541611,Administrative Management and General Management Consulting Services ,561210;561320;561720;561730;562119;562998,,,,,Oumy Diallo,,,N,,N,,
CMXJQVHE5EQ6,LADYS WAY LLC,,21Q40,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,3531 ROGERS RD,,CHATTANOOGA,TN,37411,USA,,3712 Bennett Road,Chattanooga,TN,37412,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,N,621610,Home Health Care Services,,Q401;R401,,,,Dorisea Hart,,,N,,N,,
K5WFR5AJEEW3,MISSOURI COUNCIL ON AGING,,21QA9,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,102 Clay St,,Jefferson City,MO,65101,USA,,2500 Missouri Blvd ,Jefferson City,MO,65109,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,813920,Professional Organizations ,,G005,,,,Anna Thomas,,,N,,N,,
CRM4JEUMFN15,"EVERGREEN ENDURANCE SPORTS COACHING, LLC",,21R53,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,108 HIGHLAND RD,,WINTHROP,WA,98862,USA,,108 HIGHLAND RD,WINTHROP,WA,98862,USA,Other,Y,N,N,N,N,N,N,N,541990,"All Other Professional, Scientific, and Technical Services",,,,,,JESSICA KELLEY,,,N,,N,,
CRR7RQ2HEKA3,"Alaryn, Inc.",,21TP1,Active,2026-06-14,2027-06-15,2026-07-02,All Awards,203 Gardenia St,,Tavernier,FL,33070,USA,,203 Gardenia St,Tavernier,FL,33070,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",541511;541512;541513,,,,,Dominick Salvatore,,,N,,N,,
CSMST2J3ANZ7,CITIES OF REFUGE MINISTRIES INCORPORATED,,21S30,Active,2026-06-14,2027-06-16,2026-07-02,All Awards,906 STONERIDGE DR,,ALBANY,GA,31721,USA,,906 STONERIDGE DR,ALBANY,GA,31721,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,611710,Educational Support Services,,U005;U008;U009,,,,Tara Johnson,,,N,,N,,
CSY2VPPM91X7,Hawthorn Services LLC,,21RE9,Active,2026-06-14,2027-06-15,2026-07-02,All Awards,123 E Michigan Ave Apt 310,,Kalamazoo,MI,49007,USA,,123 E Michigan Ave Apt 310,Kalamazoo,MI,49007,USA,Other,N,N,N,N,N,N,N,N,561720,Janitorial Services ,238220;561210;561730,S201;S208;Z2DZ,,,,Daniel Cramer,,,N,,N,,
CU2DYZWPDFM7,SDR CREATIVE SOLUTIONS LLC,Shara Resch Financial Services,21PQ6,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,715 PINE TREE CT,,WARRENTON,VA,20186,USA,,715 PINE TREE CT,WARRENTON,VA,20186,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,541611,Administrative Management and General Management Consulting Services ,541512;541519;541618;541690;611430,DA01;R408;R425;R499;U001;U008,,,,Shara Resch,,,N,,N,,
ZF5KFWKX3YN7,MERCS MANAGEMENT LLC,,21Q82,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,1543 Mazant St,,New Orleans,LA,70117,USA,,1543 Mazant St,New Orleans,LA,70117,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,424120,Stationery and Office Supplies Merchant Wholesalers ,236220;238220;238320;238910;423420;423430;423440;423450;423830;423840;424110;424130;484110;484121;484122;484220;484230;561210,7510;7520,,,,Darren Mercadel,,,N,,N,,
CJ4RFDDSJHX8,"STEEL CORE CREATIVE, LLC",,21QE5,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,725 KINGSTON DR,,VIRGINIA BEACH,VA,23452,USA,,725 KINGSTON DR,VIRGINIA BEACH,VA,23452,USA,Other,N,N,N,N,N,N,N,N,541430,Graphic Design Services,541511;541512;541519;541690;611430,AJ12;B510;DA01;R408;R425;R499;R707;T001;U099,,,,Dale Wyatt,,,N,,N,,
U8ALAH8YBSM9,"Thrive Integrative, Inc,",,21QH6,Active,2026-06-14,2027-06-15,2026-07-02,All Awards,16531 Oak Park Avenue,,Tinley Park,IL,60477,USA,,20109 Driftwood Avenue,Lynwood,IL,60411,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,621330,Offices of Mental Health Practitioners (except Physicians) ,621420,,,,,Emmanuel Ihongbe,,,N,,N,,
YZ8BGWB7JSJ4,"VERITAS ALLIANCE, LLC",,21QN7,Active,2026-06-14,2027-06-15,2026-07-02,All Awards,187 FM 101 Rd,,Highland,AR,72542,USA,,"361  Southwest Dr., Unit #: 601",Jonesboro,AR,72401,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,541611,Administrative Management and General Management Consulting Services ,,,,,,Anthony Gielen,,,N,,N,,
RYHMMQAUS967,DOC INDUSTRIES LLC,,21Q77,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,21 Monikie Dr,,Bella Vista,AR,72715,USA,,21 Monikie Dr,Bella Vista,AR,72715,USA,Sole Proprietorship,N,N,N,N,Y,N,N,N,541690,Other Scientific and Technical Consulting Services,,AC11;AC12;AJ11;AJ12;B599;R408;R499;R799,,,,Andrew Lottig,,,N,,N,,
CYQ8MCYYG671,CONTINUUM MOBILE MED LLC,CONTINUUM MOBILE MED LLC,21Q72,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,2518 CRYSTAL SHORE DR,,ROSHARON,TX,77583,USA,,2518 CRYSTAL SHORE DR,ROSHARON,TX,77583,USA,Sole Proprietorship,Y,N,N,N,N,N,N,N,621399,Offices of All Other Miscellaneous Health Practitioners ,,Q201;Q401;Q999,,,,Brittaney Shaw,,,N,,N,,
CUEPT8LPZM88,ABRIDGE MIND WELLNESS LLC,,21PX9,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,5350 E TAYLOR ST APT 102,,PHOENIX,AZ,85008,USA,,3236 N 54th Lane ,Phoenix,AZ,85031,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,519290,Web Search Portals and All Other Information Services,,Q519,,,,Joan Washington,,,N,,N,,
Y45DC7SCUPE5,"VETS INSIGNIA MISSION SOLUTIONS, LLC",,21QZ4,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,71 Sawmill Rd,,Clarksville,VA,23927,USA,,71 Sawmill Rd,Clarksville,VA,23927,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,541519,Other Computer Related Services,,,,,,Jim Moody,,,N,,N,,
C6E2GSC6A4W3,MEALPRO LLC,MEALPRO LLC,21QS2,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,1556 JASPER DR,,SUNNYVALE,CA,94087,USA,,7433 Greenback Lane,Citrus Heights,CA,95610,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,445298,All Other Specialty Food Retailers ,,,,,,Luca Sartori,,,N,,N,,
CEAQVEGJF5Z7,HIDEOUT INVESTIGATIONS LLC,HIDEOUT INVESTIGATIONS LLC,21QY6,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,1260 S REED ST APT 4,,LAKEWOOD,CO,80232,USA,,1260 S REED ST APT 4,LAKEWOOD,CO,80232,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,561611,Investigation and Personal Background Check Services ,,DA01;DA10;DB01;DD01;DF01;DJ01;F108;F112;F115;F999;R401;R410;R412;R418;R422;R423;R424;R425;R429;R497;R499;R615;R699;R799,,,,Deja Stewart,,,N,,N,,
CDYKZJ93PRB8,SR TRUCK LINE INC,,21R40,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,2835 N VAHE AVE,,FRESNO,CA,93737,USA,,2835 N VAHE AVE,FRESNO,CA,93737,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,484121,"General Freight Trucking, Long-Distance, Truckload ",,R706;V112;V119;V999,,,,Abhishek Pal,,,N,,N,,
CJ28EFAALWK9,CUREOSITY LLC,,21TF3,Active,2026-06-14,2027-06-19,2026-07-02,All Awards,306 W Redwood St Ste 201,,Baltimore,MD,21201,USA,,306 W Redwood St Ste 201,Baltimore,MD,21201,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,492110,Couriers and Express Delivery Services,,R602;R607,,,,Denise Douglas,,,N,,N,,
K1YGWZW6G7M7,Wizerco LLC,,21RF1,Active,2026-06-14,2027-06-15,2026-07-02,All Awards,6000 12th Ave S,,Minneapolis,MN,55417,USA,,6000 12th Ave S,Minneapolis,MN,55417,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,236220,Commercial and Institutional Building Construction ,541512;541715,1210;1220;1230;1265;1550;5845;5865;AC11;AC12;AC13;AC14;AC21;AC22;AC23;AC24;AC31;AC32;AC33;AC34;DG11;DJ10,,,,Ryan Ksiazek,,,N,,N,,
CQHNS5JS9RU5,3RV Import-Export USA LLC,,21R58,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,17234 Tawny Owl Trl,,Loxahatchee,FL,33470,USA,,17234 Tawny Owl Trl,Loxahatchee,FL,33470,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,323111;339950;423430;423610;423620;423840;423850;459999;541519;541614;561990;811210,5999;6760;7B22;7E20;7E21;7J20;T001,,,,Andreina Villavicencio Pena,,,N,,N,,
CYYLN9Z8NUP9,REDEYE SECURITY LLC,,21QF9,Active,2026-06-14,2027-06-15,2026-07-02,All Awards,2043 Catalina Way,,Nolensville,TN,37135,USA,,2043 Catalina Way,Nolensville,TN,37135,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,541512,Computer Systems Design Services ,518210;541513;541519;541690;561621,AJ11;AJ12;AJ13;AJ14;DA01;DA10;DJ01;DJ10;R425,,,,Matthew Lucas,,,N,,N,,
D4NYSNMTQUE9,MPO GROUP LLC,MAXX ECO WASH,21FY2,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,820 SEA SPRAY LN APT 313,,FOSTER CITY,CA,94404,USA,,820 SEA SPRAY LN APT 313,FOSTER CITY,CA,94404,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,561790,Other Services to Buildings and Dwellings ,238990;541990;561210;561720;562998,F108;J019;R499;S201;S299;Z1AA;Z1JZ,,,,Petr Olskiy,,,N,,N,,
CG9PAGTRNLW5,"MERIT HOME INSPECTION TN, LLC",,21QG2,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,100 FOXLAND DR,,SMYRNA,TN,37167,USA,,100 FOXLAND DR,SMYRNA,TN,37167,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,541350,Building Inspection Services,238910;238990;541310;541320;541330;541360;541370;541410;561210;561730;561790,,,,,Timothy Smith,,,N,,N,,
HTPFCTF33XJ4,TEXAS SHIELD PEST CONTROL LLC,,21PW7,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,4703 ORKNEY DR,,MISSOURI CITY,TX,77459,USA,,4703 ORKNEY DR,MISSOURI CITY,TX,77459,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,561710,Exterminating and Pest Control Services,,F105;S207,,,,Sean Daugherty,,,N,,N,,
CKTBSZ6YMN63,ARCED GENERAL SERVICES LLC,,21QW8,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,265 HACKENSACK ST UNIT 1273,,WOOD RIDGE,NJ,07075,USA,,219 Farnham Ave,Lodi,NJ,07644,USA,Other,N,N,N,N,N,N,N,N,236220,Commercial and Institutional Building Construction ,236115;236116;236118;238160;238190;238210;238220;238310;238320;238350;238390;238910;238990;561210;561790;562111;562119;562910,F108;J043;J061;N041;N043;N061;R499;S208;Y1AA;Y1FA;Y1JZ;Y1LZ;Z1AA;Z1JZ;Z2AA;Z2JZ,,,,Randy Almanzar Zavala,,,N,,N,,
CVVSWNF1P584,TWIN CITIES FREIGHT RUNNER L.L.C.,TWIN CITIES FREIGHT RUNNER L.L.C,21PR9,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,12545 GROUSE ST NW,,MINNEAPOLIS,MN,55448,USA,,12545 GROUSE ST NW,MINNEAPOLIS,MN,55448,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,484121,"General Freight Trucking, Long-Distance, Truckload ",484110;484122;488510,V111;V112;V119,,,,Tong Yang,,,N,,N,,
UUSNSDHL25A6,ARROWHEAD SOLUTIONS LLC,,21R68,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,7735 101st Ct,,Vero Beach,FL,32967,USA,,"7901 4th St N, STE 300",Saint Petersburg,FL,33702,USA,Partnership or Limited Liability Partnership,N,N,N,N,Y,N,N,N,561720,Janitorial Services ,,S201,,,,Charles Coburn,,,N,,N,,
ZDA4CEC3ZGM9,BJ CONSTRUCTION LLC,,21R92,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,141 Sloan Dr,,Richland,MS,39218,USA,,141 Sloan Dr,Richland,MS,39218,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,238320,Painting and Wall Covering Contractors,236220,,,,,Benjamin Hernandez,,,N,,N,,
CUS1XP3AWN43,AERIAL ACCESS SOLUTIONS LLC,AERIAL ACCESS SOLUTIONS LLC,21Q48,Active,2026-06-14,2027-06-14,2026-07-02,All Awards,16500 COLLINS AVE APT 1855,,SUNNY ISLES BEACH,FL,33160,USA,,16500 COLLINS AVE APT 1855,SUNNY ISLES BEACH,FL,33160,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,561790,Other Services to Buildings and Dwellings ,,S299,,,,Tanner Carpenter,,,N,,N,,
K4TPQPJL7GU8,Via Correspondence LLC,,21V34,Active,2026-06-14,2027-06-15,2026-07-06,All Awards,4 Patton Rd,,Bloomfield,CT,06002,USA,,4 Patton Rd,Bloomfield,CT,06002,USA,Corporate Entity (Not Tax Exempt),Y,N,N,N,N,N,N,N,561431,Private Mail Centers ,323111;459420;541120;541611;541860;561110;561410;561499,7510;R608;R610;R703;T011,,,,Johnleia Lambert,,,N,,N,,
CM95U729C6K9,SWORT LLC,,21UQ1,Active,2026-06-14,2027-06-20,2026-07-06,All Awards,65 WILLIS AVE,,FLORAL PARK,NY,11001,USA,,65 WILLIS AVE,FLORAL PARK,NY,11001,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,541330,Engineering Services,334511;335999;541512;541715,1420;5975;5998;5999;AR11;B539;R425,,,,Andres Pena,,,N,,N,,
CVUCTL4UHSV6,SENTINEL DEFENSE AND INTELLIGENCE GROUP LLC,REX FEDERAL GROUP,216R9,Active,2026-06-14,2027-06-18,2026-07-06,All Awards,2035 WATERSTONE LN,,HIGH POINT,NC,27265,USA,,2035 WATERSTONE LN,HIGH POINT,NC,27265,USA,Sole Proprietorship,N,N,N,N,Y,N,N,N,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,334111;334118;423910;423990;424990;425120,7110;7510;7810;7B22;7E21;7G21;7G22;7K20,,,,Adam Accarino,,,N,,N,,
CYSCJKBUPWH5,BRIGHT FOCUS INITIATIVE 804,BRIGHT FOCUS INITIATIVE,,Active,2026-06-14,2027-07-01,2026-07-06,Federal Assistance Awards,304 DEFENSE AVE,,SANDSTON,VA,23150,USA,,304 DEFENSE AVE,SANDSTON,VA,23150,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Tashina Brown,,,N,,N,,
CQ32CME3DDT5,VANTAGE SYSTEMS LLC,VANTAGE SYSTEMS LLC,21UR0,Active,2026-06-14,2027-06-19,2026-07-06,All Awards,19420 CALVERT ST,,TARZANA,CA,91335,USA,,19420 CALVERT ST,TARZANA,CA,91335,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,541512;541513;541519,,,,,Tate Donaldson,,,N,,N,,
CZBAEK91PHJ3,KIRK AND SONS MOBILE AUTOMOTIVE REPAIR LLC,,21UT1,Active,2026-06-14,2027-06-21,2026-07-06,All Awards,6212 N 47TH AVE,,GLENDALE,AZ,85301,USA,,6212 N 47TH AVE,GLENDALE,AZ,85301,USA,Partnership or Limited Liability Partnership,N,N,N,N,Y,N,N,N,811111,General Automotive Repair ,485999;811114;811191;811192;811198,,,,,Corina Parras,,,N,,N,,
CQL9EKHJ1KS4,BEVERLY SHAVONNE INVESTMENTS LLC,BSI COMMERCIAL CLEANING,21WF9,Active,2026-06-14,2027-06-21,2026-07-06,All Awards,555 SW Crithfield Ct,,Pullman,WA,99163,USA,,555 SW Crithfield CT,Pullman,WA,99163,USA,Sole Proprietorship,Y,N,N,N,N,N,N,N,561720,Janitorial Services ,238990;561210;561740;561790,S201;S205;S214;S216;S299,,,,Victoria Brister,,,N,,N,,
YZK3FUEBBJK9,GREEN STAR EXPRESS LLC,,21XE2,Active,2026-06-14,2027-06-17,2026-07-07,All Awards,383 OAKRIDGE DR,,RAEFORD,NC,28376,USA,,383 OAKRIDGE DR,RAEFORD,NC,28376,USA,Partnership or Limited Liability Partnership,N,N,N,N,Y,N,N,N,484110,"General Freight Trucking, Local ",484121;484122,,,,,Cynthia Hyacinth,,,N,,N,,
YB8TQRHC5MZ5,ANMODA EDUMOGA NATIONAL DEVELOPMENT ASSOCIATION,,,Active,2026-06-13,2027-06-15,2026-06-15,Federal Assistance Awards,"1, ANMODA EDUMOGA, OKPOKWU LGA., BENUE STATE",,ANMODA EDUMOGA,,,NGA,,"1, ANMODA EDUMOGA, OKPOKWU LGA., BENUE STATE",ANMODA EDUMOGA,,,NGA,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Simon Clement,,,N,,N,,
FKGFQHNXE3S1,Fundacja Another,,,Active,2026-06-13,2027-06-13,2026-06-13,Federal Assistance Awards,UL. OLSZTYNSKA 17,,WILKASY,,11-500,POL,,UL. OLSZTYNSKA 17,WILKASY,,11-500,POL,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Monika Gago,,,N,,N,,
ZR7ARYZN3UD3,CP INTERNATIONAL SUPPLY,,562QF,Active,2026-06-13,2027-06-13,2026-06-13,All Awards,"143 HAESONG-RO, YEONSU-GU",,INCHEON,,,KOR,,"143 HAESONG-RO, YEONSU-GU",INCHEON,,,KOR,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,424490,Other Grocery and Related Products Merchant Wholesalers ,423430;423620;424210;424820,7730;8510;8960;8965,,,,CHUN POK PAEK,,,N,,N,,
ZQBRQ5QBAVD7,Mahmoud Rashad Mahmoud Salam,,STNA4,Active,2026-06-13,2027-06-13,2026-06-13,All Awards,11 El-meina El Sharki- Ramel Station,,Alexandria,,,EGY,,11 El-meina El Sharki- Ramel Station,Alexandria,,,EGY,Sole Proprietorship,N,N,N,N,N,N,N,Y,541611,Administrative Management and General Management Consulting Services ,,,,,,Mahmoud Salam,,,N,,N,,
ULK4M7FLGXF8,BORNGATES VENTURES,,,Active,2026-06-13,2027-06-14,2026-06-14,Federal Assistance Awards,"20, Broccoli, Salama Park",,Lusaka,Lusaka,,ZMB,,"20, Broccoli, Salama Park",Lusaka,Lusaka,,ZMB,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Bornface Mwale,,,N,,N,,
TLW5E1B7G433,Daisi Israel Komolafe,,,Active,2026-06-13,2027-06-14,2026-06-14,Federal Assistance Awards,"96, Sunshine Community by Etere Odumikan Community Village",,Ota,,,NGA,,"96, Sunshine Community by Etere Odumikan Community Village",Ota,,,NGA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Daisi Komolafe,,,N,,N,,
ZQT4EKMDJ5J4,ON THE WAY INTERNATIONAL Inc.,,493QF,Active,2026-06-13,2027-06-13,2026-06-13,All Awards,"420 SAMSEONG-RO, GANGNAM-GU",,SEOUL,,,KOR,,"420 SAMSEONG-RO, GANGNAM-GU",SEOUL,,,KOR,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,315120,Apparel Knitting Mills,315250;315990;334517,,,,,SANG-GU KANG,,,N,,N,,
PKQAEJ65T163,"PREPLET - EKOLOSKO, SOCIALNO IN KULTURNO DRUSTVO ZA USTVARJALNO SKUPNOST",,,Active,2026-06-13,2027-06-13,2026-06-13,Federal Assistance Awards,Zagradec pri Grosupljem 10a,,Grosuplje,,1290,SVN,,Zagradec pri Grosupljem 10a,Grosuplje,,1290,SVN,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Darja Ko??ak,,,N,,N,,
ZU4JMLNXSDK4,PHOENIX RISING INITIATIVE,PHOENIX RISING INITIATIVE,,Active,2026-06-13,2027-06-13,2026-06-13,Federal Assistance Awards,496 MAIN ST,,SANDOWN,NH,03873,USA,,496 MAIN ST,SANDOWN,NH,03873,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Barry James,,,N,,N,,
SGFBRNLABS54,Mothers and Children Multisectoral Development Organization (MCMDO),,,Active,2026-06-13,2027-06-16,2026-06-16,Federal Assistance Awards,NO WOREDA-139,KEBELE 01/02. HOUSE No: 621,Addis Ababa,,,ETH,,NO WOREDA-139,Addis Ababa,,,ETH,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Solomon Kassa,,,N,,N,,
YETTMD12XMP1,Clear Path Psychiatry LLC,,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,1500 Oaklawn Dr,,West Memphis,AR,72301,USA,,1500 Oaklawn Dr,West Memphis,AR,72301,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Raquel Wilson,,,N,,N,,
ZN8TPNKNCQ15,Khalui Farm LLC,,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,3622 Central Ave,,Memphis,TN,38111,USA,,3622 Central Ave,Memphis,TN,38111,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,,,None,,,,,Muhammad Jahan,,,N,,N,,
ZY4GLK1NXAZ6,"TALLAPOOSA EMERGENCY MEDICAL SERVICES, LLC",,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,201 MARIARDEN RD,,DADEVILLE,AL,36853,USA,,201 MARIARDEN RD,DADEVILLE,AL,36853,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Tanya Bruce,,,N,,N,,
UJBSEDY3JQS7,TWIZTED JOURNEYS INC,,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,1213 STATE ST,,SHELBYVILLE,IN,46176,USA,,1213 STATE ST,SHELBYVILLE,IN,46176,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Tonya Crump,,,N,,N,,
ZRFHSUS9AAG3,DESERT WELLNESS NONMEDICAL GROUP LLC,DESERT WELLNESS GROUP,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,600 W BROADWAY STE 700-100A,,SAN DIEGO,CA,92101,USA,,2390 N Trail Cir,Palm Springs,CA,92262,USA,Other,N,N,N,N,Y,N,N,N,,,None,,,,,DONALD HIERS,,,N,,N,,
TUADB88ER8W5,MYRA STATION GARDENS INC,,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,2608 S HIGH CROSS RD,,URBANA,IL,61802,USA,,2608 S HIGH CROSS RD,URBANA,IL,61802,USA,Sole Proprietorship,Y,N,N,N,N,N,N,Y,,,None,,,,,Kathy Panski,,,N,,N,,
ZVJUE2C4XGG6,KREISLERIANA LLC,KREISLERIANA LLC,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,1299 CORDOVA ST APT 305,,PASADENA,CA,91106,USA,,1299 CORDOVA ST APT 305,PASADENA,CA,91106,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Jesse Bouwman,,,N,,N,,
C3JQTR4XH2N6,Automate Planet LLC,,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,2116 Hawaiian Breeze Ave,,North Las Vegas,NV,89031,USA,,2116 Hawaiian Breeze Ave,North Las Vegas,NV,89031,USA,Corporate Entity (Not Tax Exempt),Y,N,N,N,N,N,N,N,,,None,,,,,Alejandro Perez,,,N,,N,,
C4YAVEFC3B81,VORTEX INDUSTRIES,,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,21609 HIDDEN CANYON DR,,TEHACHAPI,CA,93561,USA,,21609 HIDDEN CANYON DR,TEHACHAPI,CA,93561,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Zackary Blevins,,,N,,N,,
ZS1TDZZ3C8L5,STANTEC CONSULTING SERVICES INC.,,21DY6,Active,2026-06-13,2027-06-13,2026-06-18,All Awards,200 W 6th St Ste 1800,,Austin,TX,78701,USA,,200 W 6th St Ste 1800,Austin,TX,78701,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,541330,Engineering Services,541611,,,,,Allison Gentry,,,N,,N,,
ZZK6VYMTDVC3,THE EQUIPMENT SHED LLC,THE EQUIPMENT SHED LLC,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,287 COUNTY ROAD 14361,,AMORET,MO,64722,USA,,287 COUNTY ROAD 14361,AMORET,MO,64722,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Alex Claudell,,,N,,N,,
C3ATA6QS13J4,AYANFE RISING FOUNDATION,AYANFE RISING FOUNDATION,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,29307 FOX RUN BLVD,,SPRING,TX,77386,USA,,29307 FOX RUN BLVD,SPRING,TX,77386,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Myanah Simmons,,,N,,N,,
LTNVZ1Z9GR38,NJ SENIOR BENEFITS A NJ NON PROFIT CORPORATION,,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,560 Sarah Pl Apt 130,,Vineland,NJ,08360,USA,,601 S East Ave #2,Vineland,NJ,08360,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,EVANS CORTES,,,N,,N,,
CA4USX4K7HP3,CORAZON PURO,,,Active,2026-06-13,2027-06-13,2026-06-18,Federal Assistance Awards,190 BUTLER ST,,PATERSON,NJ,07524,USA,,190 BUTLER ST,PATERSON,NJ,07524,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Fr Agustino Torres,,,N,,N,,
